Time,Miami,Score,Atlanta,Event,Quarter,TeamScore,OpponentScore,PointDifference,ElapsedTime
2:36.0,B. Adebayo enters the game for H. Highsmith,84-70, ,,3,84,70,14,2004.0
2:36.0, ,84-70,W. Matthews enters the game for D. Hunter,,3,84,70,14,2004.0
2:36.0, ,84-70,T. Young enters the game for D. Murray,,3,84,70,14,2004.0
2:36.0,K. Love makes free throw 1 of 2,85-70, ,,3,85,70,15,2004.0
2:36.0,K. Love makes free throw 2 of 2,86-70, ,,3,86,70,16,2004.0
2:20.0, ,86-70,S. Bey misses 3-pt jump shot from 24 ft,,3,86,70,16,2020.0
2:16.0,Defensive rebound by K. Love,86-70, ,,3,86,70,16,2024.0
2:05.0,Turnover by B. Adebayo (traveling),86-70, ,,3,86,70,16,2035.0
1:57.0, ,86-73,B. Bogdanović makes 3-pt jump shot from 25 ft (assist by T. Young),,3,86,73,13,2043.0
1:46.0,Offensive foul by B. Adebayo (drawn by B. Bogdanović),86-73, ,,3,86,73,13,2054.0
1:46.0,Turnover by B. Adebayo (offensive foul),86-73, ,,3,86,73,13,2054.0
1:46.0,D. Robinson enters the game for K. Lowry,86-73, ,,3,86,73,13,2054.0
1:39.0, ,86-73,T. Young misses 3-pt jump shot from 27 ft,,3,86,73,13,2061.0
1:36.0, ,86-73,Offensive rebound by S. Bey,,3,86,73,13,2064.0
1:34.0, ,86-73,B. Bogdanović misses 3-pt jump shot from 27 ft,,3,86,73,13,2066.0
1:31.0, ,86-73,Offensive rebound by O. Okongwu,,3,86,73,13,2069.0
1:29.0, ,86-73,S. Bey misses 3-pt jump shot from 23 ft,,3,86,73,13,2071.0
1:28.0, ,86-73,Offensive rebound by W. Matthews,,3,86,73,13,2072.0
1:28.0, ,86-73,Shooting foul by D. Robinson (drawn by W. Matthews),,3,86,73,13,2072.0
1:28.0, ,86-74,W. Matthews makes free throw 1 of 2,,3,86,74,12,2072.0
1:28.0, ,86-74,W. Matthews misses free throw 2 of 2,,3,86,74,12,2072.0
1:26.0,Defensive rebound by B. Adebayo,86-74, ,,3,86,74,12,2074.0
1:17.0,D. Smith makes 2-pt layup from 1 ft,88-74, ,,3,88,74,14,2083.0
1:08.0, ,88-77,W. Matthews makes 3-pt jump shot from 27 ft (assist by T. Young),,3,88,77,11,2092.0
0:49.0,D. Robinson makes 3-pt jump shot from 25 ft,91-77, ,,3,91,77,14,2111.0
0:38.0, ,91-80,W. Matthews makes 3-pt jump shot from 24 ft (assist by T. Young),,3,91,80,11,2122.0
0:29.0,J. Richardson makes 2-pt jump shot from 19 ft,93-80, ,,3,93,80,13,2131.0
0:06.0, ,93-82,T. Young makes 2-pt layup from 1 ft,,3,93,82,11,2154.0
0:00.0,End of 3rd quarter,93-82,,,3,93,82,11,2160.0
12:00.0,Start of 4th quarter,93-82,,,4,93,82,11,2160.0
11:45.0,Personal foul by B. Bogdanović (drawn by D. Robinson),93-82, ,,4,93,82,11,2175.0
11:36.0,D. Robinson misses 3-pt jump shot from 25 ft,93-82, ,,4,93,82,11,2184.0
11:32.0, ,93-82,Defensive rebound by O. Okongwu,,4,93,82,11,2188.0
11:26.0, ,93-84,T. Young makes 2-pt layup from 3 ft,,4,93,84,9,2194.0
11:13.0,D. Smith misses 2-pt jump shot from 16 ft,93-84, ,,4,93,84,9,2207.0
11:10.0,Offensive rebound by B. Adebayo,93-84, ,,4,93,84,9,2210.0
11:10.0,Shooting foul by O. Okongwu (drawn by B. Adebayo),93-84, ,,4,93,84,9,2210.0
11:10.0,B. Adebayo makes free throw 1 of 2,94-84, ,,4,94,84,10,2210.0
11:10.0,B. Adebayo makes free throw 2 of 2,95-84, ,,4,95,84,11,2210.0
10:59.0, ,95-84,Shooting foul by J. Jaquez (drawn by T. Young),,4,95,84,11,2221.0
10:59.0, ,95-84,T. Young misses free throw 1 of 2,,4,95,84,11,2221.0
10:59.0, ,95-84,Offensive rebound by Team,,4,95,84,11,2221.0
10:59.0, ,95-85,T. Young makes free throw 2 of 2,,4,95,85,10,2221.0
10:49.0,J. Richardson makes 3-pt jump shot from 25 ft (assist by D. Smith),98-85, ,,4,98,85,13,2231.0
10:39.0, ,98-85,J. Johnson misses 3-pt jump shot from 24 ft,,4,98,85,13,2241.0
10:35.0,Defensive rebound by D. Robinson,98-85, ,,4,98,85,13,2245.0
10:29.0,D. Robinson misses 3-pt jump shot from 25 ft,98-85, ,,4,98,85,13,2251.0
10:25.0, ,98-85,Defensive rebound by J. Johnson,,4,98,85,13,2255.0
10:21.0, ,98-85,T. Young misses 3-pt jump shot from 27 ft,,4,98,85,13,2259.0
10:19.0, ,98-85,Offensive rebound by O. Okongwu,,4,98,85,13,2261.0
10:09.0, ,98-85,B. Bogdanović misses 2-pt jump shot from 8 ft,,4,98,85,13,2271.0
10:04.0, ,98-85,Offensive rebound by O. Okongwu,,4,98,85,13,2276.0
10:04.0, ,98-85,O. Okongwu misses 2-pt layup at rim,,4,98,85,13,2276.0
10:04.0,Defensive rebound by B. Adebayo,98-85, ,,4,98,85,13,2276.0
9:54.0,Personal foul by W. Matthews (drawn by B. Adebayo),98-85, ,,4,98,85,13,2286.0
9:54.0, ,98-85,S. Bey enters the game for W. Matthews,,4,98,85,13,2286.0
9:41.0,D. Robinson misses 3-pt jump shot from 25 ft,98-85, ,,4,98,85,13,2299.0
9:38.0, ,98-85,Defensive rebound by B. Bogdanović,,4,98,85,13,2302.0
9:38.0, ,98-85,D. Hunter enters the game for J. Johnson,,4,98,85,13,2302.0
9:38.0, ,98-85,D. Murray enters the game for T. Young,,4,98,85,13,2302.0
9:26.0, ,98-88,B. Bogdanović makes 3-pt jump shot from 27 ft (assist by D. Murray),,4,98,88,10,2314.0
9:13.0,Turnover by J. Richardson (bad pass),98-88, ,,4,98,88,10,2327.0
8:57.0, ,98-88,D. Murray misses 2-pt jump shot from 8 ft,,4,98,88,10,2343.0
8:53.0, ,98-88,Offensive rebound by O. Okongwu,,4,98,88,10,2347.0
8:53.0, ,98-88,O. Okongwu misses 2-pt layup at rim,,4,98,88,10,2347.0
8:52.0,Defensive rebound by D. Smith,98-88, ,,4,98,88,10,2348.0
8:33.0,D. Robinson makes 2-pt layup from 1 ft,100-88, ,,4,100,88,12,2367.0
8:12.0, ,100-88,D. Hunter misses 3-pt jump shot from 27 ft,,4,100,88,12,2388.0
8:10.0,Defensive rebound by B. Adebayo,100-88, ,,4,100,88,12,2390.0
7:59.0,J. Richardson misses 3-pt jump shot from 25 ft,100-88, ,,4,100,88,12,2401.0
7:55.0, ,100-88,Defensive rebound by O. Okongwu,,4,100,88,12,2405.0
7:52.0, ,100-88,Personal foul by D. Smith (drawn by D. Murray),,4,100,88,12,2408.0
7:52.0,H. Highsmith enters the game for J. Richardson,100-88, ,,4,100,88,12,2408.0
7:52.0, ,100-88,T. Young enters the game for B. Bogdanović,,4,100,88,12,2408.0
7:40.0, ,100-88,T. Young misses 2-pt jump shot from 11 ft,,4,100,88,12,2420.0
7:36.0,Defensive rebound by B. Adebayo,100-88, ,,4,100,88,12,2424.0
7:27.0,Miami full timeout,100-88, ,,4,100,88,12,2433.0
7:18.0,B. Adebayo makes 2-pt jump shot from 13 ft,102-88, ,,4,102,88,14,2442.0
7:02.0, ,102-88,S. Bey misses 3-pt jump shot from 24 ft,,4,102,88,14,2458.0
6:59.0,Defensive rebound by B. Adebayo,102-88, ,,4,102,88,14,2461.0
6:50.0,D. Smith misses 3-pt jump shot from 26 ft,102-88, ,,4,102,88,14,2470.0
6:49.0,Offensive rebound by B. Adebayo,102-88, ,,4,102,88,14,2471.0
6:49.0,Shooting foul by D. Hunter (drawn by B. Adebayo),102-88, ,,4,102,88,14,2471.0
6:49.0,B. Adebayo makes free throw 1 of 2,103-88, ,,4,103,88,15,2471.0
6:49.0, ,103-88,B. Bogdanović enters the game for S. Bey,,4,103,88,15,2471.0
6:49.0,B. Adebayo makes free throw 2 of 2,104-88, ,,4,104,88,16,2471.0
6:40.0, ,104-91,T. Young makes 3-pt jump shot from 26 ft (assist by D. Murray),,4,104,91,13,2480.0
6:19.0,D. Robinson makes 2-pt jump shot from 12 ft,106-91, ,,4,106,91,15,2501.0
6:09.0, ,106-94,B. Bogdanović makes 3-pt jump shot from 23 ft (assist by D. Hunter),,4,106,94,12,2511.0
6:09.0,K. Lowry enters the game for D. Robinson,106-94, ,,4,106,94,12,2511.0
6:09.0, ,106-94,C. Capela enters the game for O. Okongwu,,4,106,94,12,2511.0
5:45.0,Jump ball: B. Adebayo vs. D. Hunter (H. Highsmith gains possession),106-94,,,4,106,94,12,2535.0
5:39.0,H. Highsmith misses 2-pt jump shot from 19 ft,106-94, ,,4,106,94,12,2541.0
5:35.0,Offensive rebound by D. Smith,106-94, ,,4,106,94,12,2545.0
5:25.0,Turnover by J. Jaquez (bad pass; steal by D. Murray),106-94, ,,4,106,94,12,2555.0
5:22.0, ,106-94,Turnover by T. Young (bad pass),,4,106,94,12,2558.0
5:22.0, ,106-94,Violation by Team (delay of game),,4,106,94,12,2558.0
5:02.0,J. Jaquez misses 2-pt layup from 3 ft (block by C. Capela),106-94, ,,4,106,94,12,2578.0
4:59.0,Offensive rebound by B. Adebayo,106-94, ,,4,106,94,12,2581.0
4:57.0,D. Smith makes 3-pt jump shot from 27 ft (assist by B. Adebayo),109-94, ,,4,109,94,15,2583.0
4:46.0, ,109-94,D. Murray misses 3-pt jump shot from 25 ft,,4,109,94,15,2594.0
4:44.0,Defensive rebound by Team,109-94, ,,4,109,94,15,2596.0
4:22.0,H. Highsmith misses 3-pt jump shot from 26 ft,109-94, ,,4,109,94,15,2618.0
4:18.0, ,109-94,Defensive rebound by D. Murray,,4,109,94,15,2622.0
4:11.0, ,109-96,T. Young makes 2-pt layup from 2 ft (assist by D. Murray),,4,109,96,13,2629.0
3:47.0,H. Highsmith misses 2-pt jump shot from 8 ft,109-96, ,,4,109,96,13,2653.0
3:45.0, ,109-96,Defensive rebound by T. Young,,4,109,96,13,2655.0
3:44.0, ,109-96,Turnover by T. Young (out of bounds lost ball),,4,109,96,13,2656.0
3:44.0, ,109-96,Technical foul by T. Young,,4,109,96,13,2656.0
3:44.0,K. Lowry makes technical free throw,110-96, ,,4,110,96,14,2656.0
3:27.0,Turnover by J. Jaquez (traveling),110-96, ,,4,110,96,14,2673.0
3:17.0, ,110-96,Shooting foul by H. Highsmith (drawn by T. Young),,4,110,96,14,2683.0
3:17.0, ,110-97,T. Young makes free throw 1 of 2,,4,110,97,13,2683.0
3:17.0, ,110-98,T. Young makes free throw 2 of 2,,4,110,98,12,2683.0
3:15.0,Personal take foul by B. Bogdanović (drawn by H. Highsmith),110-98, ,,4,110,98,12,2685.0
3:15.0,H. Highsmith makes free throw 1 of 2,111-98, ,,4,111,98,13,2685.0
3:15.0,H. Highsmith misses free throw 2 of 2,111-98, ,,4,111,98,13,2685.0
3:13.0, ,111-98,Defensive rebound by B. Bogdanović,,4,111,98,13,2687.0
3:04.0, ,111-100,T. Young makes 2-pt jump shot from 10 ft (assist by D. Murray),,4,111,100,11,2696.0
2:59.0,Personal take foul by B. Bogdanović (drawn by H. Highsmith),111-100, ,,4,111,100,11,2701.0
2:59.0, ,111-100,Atlanta full timeout,,4,111,100,11,2701.0
2:59.0,H. Highsmith makes free throw 1 of 2,112-100, ,,4,112,100,12,2701.0
2:59.0,H. Highsmith makes free throw 2 of 2,113-100, ,,4,113,100,13,2701.0
2:49.0, ,113-102,D. Hunter makes 2-pt jump shot from 9 ft (assist by T. Young),,4,113,102,11,2711.0
2:27.0,H. Highsmith misses 2-pt layup from 2 ft,113-102, ,,4,113,102,11,2733.0
2:24.0, ,113-102,Defensive rebound by D. Hunter,,4,113,102,11,2736.0
2:21.0, ,113-105,B. Bogdanović makes 3-pt jump shot from 25 ft (assist by T. Young),,4,113,105,8,2739.0
1:57.0,Shooting foul by D. Murray (drawn by B. Adebayo),113-105, ,,4,113,105,8,2763.0
1:57.0,B. Adebayo makes free throw 1 of 2,114-105, ,,4,114,105,9,2763.0
1:57.0,B. Adebayo makes free throw 2 of 2,115-105, ,,4,115,105,10,2763.0
1:50.0, ,115-105,Turnover by T. Young (lost ball; steal by B. Adebayo),,4,115,105,10,2770.0
1:28.0,B. Adebayo misses 2-pt jump shot from 20 ft,115-105, ,,4,115,105,10,2792.0
1:24.0, ,115-105,Defensive rebound by B. Bogdanović,,4,115,105,10,2796.0
1:17.0, ,115-105,B. Bogdanović misses 3-pt jump shot from 25 ft,,4,115,105,10,2803.0
1:14.0, ,115-105,Offensive rebound by C. Capela,,4,115,105,10,2806.0
1:13.0, ,115-107,C. Capela makes 2-pt layup from 1 ft,,4,115,107,8,2807.0
0:54.0,Turnover by D. Smith (bad pass; steal by D. Murray),115-107, ,,4,115,107,8,2826.0
0:50.0, ,115-107,Shooting foul by J. Jaquez (drawn by T. Young),,4,115,107,8,2830.0
0:50.0, ,115-108,T. Young makes free throw 1 of 2,,4,115,108,7,2830.0
0:50.0, ,115-109,T. Young makes free throw 2 of 2,,4,115,109,6,2830.0
0:27.0,Personal foul by C. Capela (drawn by K. Lowry),115-109, ,,4,115,109,6,2853.0
0:27.0,K. Lowry makes free throw 1 of 2,116-109, ,,4,116,109,7,2853.0
0:27.0,K. Lowry makes free throw 2 of 2,117-109, ,,4,117,109,8,2853.0
0:22.0, ,117-109,T. Young misses 3-pt jump shot from 28 ft,,4,117,109,8,2858.0
0:19.0,Defensive rebound by Team,117-109, ,,4,117,109,8,2861.0
0:19.0,Miami full timeout,117-109, ,,4,117,109,8,2861.0
0:17.0,Turnover by K. Lowry (bad pass),117-109, ,,4,117,109,8,2863.0
0:13.0, ,117-109,D. Hunter misses 3-pt jump shot from 26 ft,,4,117,109,8,2867.0
0:08.0,Defensive rebound by B. Adebayo,117-109, ,,4,117,109,8,2872.0
0:00.0,End of 4th quarter,117-109,,,4,117,109,8,2880.0
